,Element Name,Element Type,Database,PosReg Name,PosReg Type,PosReg ID,,NegReg Name,NegReg Type,NegReg ID,,Connection Type,Negative Reg DB,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
898,bcl-2 expression, , ,akt,family,akt, , , , , ,i,[' '],['increaseamount'],['pmc2185587'],"['however, unlike the observation that akt upregulates bcl-2 expression in baf/3 cells (ahmed et al.']",1,1,40,1,41
1022,c-myc,protein,q17103,myc,protein,p01106, , , , , ,i,[' '],['activation'],['pmc4438683'],"['in basal like breast cancer, the akt1, pik3ca, and myc loci are commonly amplified and induce constitutive akt and c-myc pathway signaling.']",1,1,40,1,41
2938,gsk3Î² at s9, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc4513933'],"['since akt phosphorylates gsk3 Î² at s9 causing its inactivation [xref_bibr], we postulate that akt activation will result in gsk3 Î² inactivation and restoration of runx2 transcriptional activity.']",1,1,40,1,41
2939,gst fusion proteins that carried the putative akt motif could be phosphorylated, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc3675137'],['only gst fusion proteins that carried the putative akt phosphorylation motif could be phosphorylated by akt (xref_supplementary).'],1,1,40,1,41
2940,gst-oct4, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc3675137'],"['akt phosphorylated gst-oct4, but not gst, gst-oct4t228a, gst-oct4t228d or gst-oct4t228e (xref_fig).']",1,1,40,1,41
882,bax expression, , ,p53,protein,p04637, , , , , ,i,[' '],['regulation'],['pmc3671546'],['it has also been reported that dj-1 inhibits the induction of apoptosis by p53 induced bax expression [xref_bibr].'],1,1,40,1,41
2941,"gst-oct4, but not gst", , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc3675137'],"['akt phosphorylated gst-oct4, but not gst, gst-oct4t228a, gst-oct4t228d or gst-oct4t228e (xref_fig).']",1,1,40,1,41
2942,"gst-oct4, but not gst, gst-oct4t228a", , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc3675137'],"['akt phosphorylated gst-oct4, but not gst, gst-oct4t228a, gst-oct4t228d or gst-oct4t228e (xref_fig).']",1,1,40,1,41
2943,"gst-oct4, but not gst, gst-oct4t228a, gst-oct4t228d", , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc3675137'],"['akt phosphorylated gst-oct4, but not gst, gst-oct4t228a, gst-oct4t228d or gst-oct4t228e (xref_fig).']",1,1,40,1,41
2944,"gst-oct4, but not gst, gst-oct4t228a, gst-oct4t228d or gst-oct4t228e", , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc3675137'],"['akt phosphorylated gst-oct4, but not gst, gst-oct4t228a, gst-oct4t228d or gst-oct4t228e (xref_fig).']",1,1,40,1,41
2945,gst-satb1 1â€“204, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc3675137'],"['in the presence of atp, akt phosphorylated gst-satb1 1 â€“ 204, but not gst, gst-satb1 1-204s47a or gst-satb1 1-204s47d when assayed with the anti-serum of g5647.']",1,1,40,1,41
2946,"gst-satb1 1â€“204, but not gst", , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc3675137'],"['in the presence of atp, akt phosphorylated gst-satb1 1 â€“ 204, but not gst, gst-satb1 1-204s47a or gst-satb1 1-204s47d when assayed with the anti-serum of g5647.']",1,1,40,1,41
5599,tgm2,protein,p21980,ca,simple-chemical,271, , , , , ,i,[' '],['activation'],['pmc4798945'],"['it is possible that the cell type, tp53 status or cell culture conditions influence the biochemical activities of tgm2; for instance, high ca 2+ concentrations induce tgm2 transamidation activity but inhibit its gtpase activity (xref_bibr; xref_bibr).']",1,1,40,1,41
5600,tgm2,protein,p21980,hras,protein,p01112, , , , , ,i,[' '],['activation'],['pmc4798945'],"['our loss-of-function screen identified tgm2 as a putative tumor suppressor gene within the tp53 signaling pathway that prevents oncogenic transformation and tumor formation by primary hmecs expressing tert, activated hras v12 and sv40 small t antigen.']",1,1,40,1,41
2948,gtp hydrolysis, , ,nf1,protein,p21359, , , , , ,i,[' '],['inhibition'],['pmc4067595'],"['ras proteins exhibit intrinsic low-level hydrolytic activity and are negatively regulated by gtpase activating proteins (gaps) such as neurofibromin (nf1), which stimulate gtp hydrolysis and formation of inactive ras â€“ gdp (figure xref_fig).']",1,1,40,1,41
862,bad on serine 136, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc2834758'],"['akt phosphorylates bad on serine 136, which promotes the association of bad a pro apoptotic protein in bcl-2 family, with 14-3-3 proteins in the cytosol, thus inactivating its pro apoptotic function xref_bibr.']",1,1,40,1,41
942,binding of satb1 to sox2, , ,pi3k,protein,pi3k, , , , , ,i,[' '],['complex'],['pmc3675137'],"['moreover, pi3k / akt signaling enhances the binding of satb1 to sox2, thereby probably impairing the formation of oct4 / sox2 regulatory complexes.']",1,1,40,1,41
3881,mitogen-activated protein kinase, , ,vegfr2,protein,p35968, , , , , ,i,[' '],['phosphorylation'],['pmc3440385'],"['internalization does not terminate its signaling; instead, the internalized vegfr2 is phosphorylated, co-distributes with active phospholipase c-gamma, and stimulates p44/42 mitogen activated protein kinase phosphorylation and cell proliferation xref_bibr.']",1,1,40,1,41
2903,glycogen synthase kinase 3 (gsk-3Î±/Î²) at serine, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc4072751'],['akt phosphorylates glycogen synthase kinase 3 (gsk-3 Î±/Î²) at serine 21/9 (ser21/9).'],1,1,40,1,41
3887,mitosis,bioprocess,go:0007067,akt,family,akt, , , , , ,i,[' '],['activation'],['pmc3317191'],"['as shown in xref_fig, akt regulates the g2/m transition through direct phosphorylation of both cdk1 activators and inhibitors, suggesting that the pi3k / akt pathway could function to promote mitosis [xref_bibr, xref_bibr].']",1,1,40,1,41
1021,c-myc,protein,q17103,erk,family,erk, , , , , ,i,[' '],['activation'],['pmc3876434'],"['b-cell antigen receptor stimulation elicits c-myc expression via erk1/2 phosphorylation in b-cell chronic lymphocytic leukemia, in which erk dependent induction of c-myc regulates leukemic cell proliferation.']",1,1,40,1,41
1020,c-myc,protein,q17103,epidermal growth factor,protein,p01133, , , , , ,i,[' '],['activation'],['pmc3876434'],['epidermal growth factor and vascular endothelial growth factor upregulate the tert promoter by activating c-myc and/or sp1 transcription factors in an erk1/2 dependent fashion in ovarian cancer cells.'],1,1,40,1,41
1019,c-myc,protein,q17103,cdk,family,cdk, , , , , ,i,[' '],['complex'],['pmc3479348'],"['cdc25a, a cdk activating phosphatase and target of c-myc promotes g1/s transition by targeting and activating cyclin / cdk2 complexes [xref_bibr, xref_bibr].']",1,1,40,1,41
1016,c-myc,protein,q17103,akt1,protein,p31749, , , , , ,i,[' '],['activation'],['pmc4438683'],"['in basal like breast cancer, the akt1, pik3ca, and myc loci are commonly amplified and induce constitutive akt and c-myc pathway signaling.']",1,1,40,1,41
5495,telomerase transcription, , ,pten,protein,p60484, , , , , ,i,[' '],['increaseamount'],['pmc3876434'],"['xref_bibr, xref_bibr dj-1, a regulator of pten, stimulates the pi3k/akt/c-myc pathway and upregulates telomerase transcription in renal cell carcinoma.']",1,1,40,1,41
1013,c-kit receptor,protein,uaz08091,nf1,protein,p21359, , , , , ,i,[' '],['activation'],['pmc2195790'],"['indeed, haploinsufficiency of nf1 restored the ability of the mutant w 41 c-kit receptor to activate map kinase to wild-type levels at the 5-min time point (xref_fig).']",1,1,40,1,41
1011,c-kit,protein,uaz00191,nf1,protein,p21359, , , , , ,i,[' '],['activation'],['pmc2195790'],['the phenotypic data presented above suggest a model whereby heterozygous inactivation of nf1 enhances c-kit â€“ induced ras output by reducing neurofibromin levels (and gap activity for ras) in susceptible cell lineages.'],1,1,40,1,41
5500,tert, , ,pkc,family,pkc, , , , , ,i,[' '],['phosphorylation'],['pmc3876434'],['pkc Î± phosphorylates tert and enhances telomerase activity both in vitro and in intact cancer cells.'],1,1,40,1,41
1009,c-jun was phosphorylated, , ,egf,protein,p01133, , , , , ,i,[' '],['phosphorylation'],['pmc3440385'],"['we showed that under all three conditions, c-jun was phosphorylated following egf stimulation for 5 min and the phosphorylation level continued to increase and remained high afterwards.']",1,1,40,1,41
1006,c-jun,protein,uaz00429,rb,protein,p06400, , , , , ,i,[' '],['activation'],['pmc4264040'],"['moreover, we found that the c-jun level was not changed between early- and late-passage mscs or before and after rb knockdown (xref_fig d), suggesting that the increase of dnmt1 expression in early-passage mscs was not due to upregulation of c-jun or through rb mediated c-jun upregulation in early-passage mscs.']",1,1,40,1,41
1005,c-jun,protein,uaz00429,egfr,protein,p00533, , , , , ,i,[' '],['activation'],['pmc3440385'],"['we showed that both egfr activations at pm and en activated erk to a similar level, but differentially stimulated transcriptional factors c-jun and c-fos.']",1,1,40,1,41
2867,glucokinase,protein,p35557,hi,protein,q5jqc9, , , , , ,i,[' '],['activation'],['pmc3537282'],['glucokinase- iÌ‡ nduced hyperinsulinism (hi) activating glucokinase (gck) mutations are a rare cause of medically responsive chi (xref_bibr).'],1,1,40,1,41
1001,c-fos was phosphorylated, , ,egfr,protein,p00533, , , , , ,i,[' '],['phosphorylation'],['pmc3440385'],"['we showed that c-fos was phosphorylated by pm egfr activation in cho-ll/aa cells following egf stimulation, but no phosphorylation of c-fos was detected in cho-egfr cells following en activation of egfr (xref_fig).']",1,1,40,1,41
999,c-fos transcription, , ,egfr,protein,p00533, , , , , ,i,[' '],['increaseamount'],['pmc3440385'],['this indicates that pm egfr signaling strongly stimulated c-fos transcription.'],1,1,40,1,41
2877,glucose,simple-chemical,hmdb06564,mtorc1,protein,mtorc1, , , , , ,i,[' '],['activation'],['pmc4114053'],"['in terms of glucose metabolism, activation of mtorc1 is known to cause increased glucose uptake and glycolysis via hif1.']",1,1,40,1,41
5516,tert,protein,o14746,epidermal growth factor,protein,p01133, , , , , ,i,[' '],['activation'],['pmc3876434'],['epidermal growth factor and vascular endothelial growth factor upregulate the tert promoter by activating c-myc and/or sp1 transcription factors in an erk1/2 dependent fashion in ovarian cancer cells.'],1,1,40,1,41
984,by akt (tsc1, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc2706976'],"['to ask whether the phosphorylation of dtsc1 and dtsc2 by akt are functionally redundant, we genetically engineer flies in which both tsc1 and tsc2 are simultaneously replaced with mutant versions that cannot be phosphorylated by akt (tsc1 s533a, tsc2 t437a/s924a/t1054a/t1518a).']",1,1,40,1,41
982,btk ph,protein,uaz09355,pi3k,protein,pi3k, , , , , ,i,[' '],['activation'],['pmc3414724'],['both pip 3 levels and btk ph recruitment can be inhibited by pi3k inhibition or by conditions that promote ship activity (xref_bibr).'],1,1,40,1,41
981,bromodeoxyuridine,simple-chemical,6035,rb,protein,p06400, , , , , ,i,[' '],['activation'],['pmc4264040'],"['similarly, knockdown of rb reduced the bromodeoxyuridine (brdu) incorporation rate (figure s2a).']",1,1,40,1,41
5527,tert,protein,o14746,myc,protein,p01106, , , , , ,i,[' '],['activation'],['pmc3943417'],"['in b cells, however, myc is not involved in mediating the htert expression and telomerase activation induced by lmp-1, since myc silencing does not inhibit lmp-1-induced telomerase activation, and mutagenesis in the nf-Îº b binding sites, but not in the myc binding sites, inhibits lmp-1-induced activation of the tert promoter [xref_bibr].']",1,1,40,1,41
3900,mmp,family,mmp,e2f1,protein,q01094, , , , , ,i,[' '],['activation'],['pmc4100745'],"['interestingly, co-transfection of kdm2a along with e2f1 considerably repressed the e2f1 mediated induction of the four mmp promoters in a dose dependent manner.']",1,1,40,1,41
3895,mitosis,bioprocess,go:0007067,pi3k,protein,pi3k, , , , , ,i,[' '],['activation'],['pmc3317191'],"['as shown in xref_fig, akt regulates the g2/m transition through direct phosphorylation of both cdk1 activators and inhibitors, suggesting that the pi3k / akt pathway could function to promote mitosis [xref_bibr, xref_bibr].']",1,1,40,1,41
5536,tert,protein,o14746,vascular endothelial growth factor,family,vegf, , , , , ,i,[' '],['activation'],['pmc3876434'],['epidermal growth factor and vascular endothelial growth factor upregulate the tert promoter by activating c-myc and/or sp1 transcription factors in an erk1/2 dependent fashion in ovarian cancer cells.'],1,1,40,1,41
968,brca1,protein,p38398,mdm2,protein,q00987, , , , , ,i,[' '],['activation'],['pmc3983616'],"['equally, inhibition of mdm2 either with serdemetan or a sirna suppressed brca1 (xref_fig) revealing a strong correlation between these two genes.']",1,1,40,1,41
3893,mitosis,bioprocess,go:0007067,e2f1,protein,q01094, , , , , ,i,[' '],['activation'],['pmc1914394'],"['at multiple time points, e2f1 deletion suppressed ectopic mitosis (ph3 + cells), but did not reverse the sac defect, and e2f2 deletion had no effect on either defect (xref_fig a).']",1,1,40,1,41
963,braf,protein,p15056,pten,protein,p60484, , , , , ,i,[' '],['activation'],['pmc4560817'],"['moreover, in primary human fibroblasts and melanocytes, pten loss inhibits braf v600e (or hras v12g)-induced senescence xref_bibr xref_bibr.']",1,1,40,1,41
956,bmi1 increased p14 arf  and p16 ink4a  expression, , ,pten,protein,p60484, , , , , ,i,[' '],['increaseamount'],['pmc2777864'],"['as expected, knockdown of pten activated akt (fig xref_fig, top panel) and knockdown of bmi1 increased p14 arf and p16 ink4a expression (data not shown).']",1,1,40,1,41
955,bmi1,protein,p35226,akt,family,akt, , , , , ,i,[' '],['activation'],['pmc2777864'],"['while overexpression of pten alone did not affect akt activation in du145 cells, which is consistent with other publications [xref_bibr, xref_bibr], ectopic pten reversed the increase in akt activation observed in du145 cells overexpressing bmi1 (fig xref_fig).']",1,1,40,1,41
3889,mitosis,bioprocess,go:0007067,cdk1,protein,p06493, , , , , ,i,[' '],['activation'],['pmc3534656'],"['in most animal cells, mitosis is triggered by activation of the cyclin dependent kinase cdk1, also known as cdc2.']",1,1,40,1,41
3990,mts2-t117, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc2834758'],['these studies suggest that the crosstalk between akt and hippo / mst regulates cell growth and survival and that akt phosphorylation of mts2-t117 represents a major regulatory mechanism of the mst2 / hippo pathway among different species.'],1,1,40,1,41
6213,Ïˆ,family,uaz00569,bcl-x l,protein,q07817, , , , , ,i,[' '],['activation'],['pmc2193455'],"['supporting the central role for the loss of Î´ Ïˆ m in the induction of cell death after the inhibition of the pi3k / akt-1 pathway, the ectopic expression of bcl-x l protected not only against dna fragmentation, but also prevented the loss of Î´ Ïˆ m and cell death, even though no reduction of endogenous bcl-x l or bcl-2 was observed.']",1,1,40,1,41
5305,senescence,bioprocess,d000375,m2,simple-chemical,1017, , , , , ,i,[' '],['activation'],['pmc4698632'],['it has been found that m2 kcs can promote hepatocyte senescence and m1 kcs apoptosis to protect against ald xref_bibr xref_bibr.'],1,1,40,1,41
2769,foxo3a, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc3979036'],"['blockade of akt inhibits foxo3a phosphorylation, resulting in translocation of foxo3a to the nucleus, where it regulates gene transcription.']",1,1,40,1,41
5257,s166-mdm2, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc4171619'],"['akt is known to directly phosphorylate s166-mdm2 leading to enhanced activity and reduced p53 levels, which in agreement with previous studies where observations were made in cells with ink4a / arf deletions [xref_bibr, xref_bibr], we find akt inhibition increases p53 levels in arf null mcf7 cells (xref_supplementary).']",1,1,40,1,41
1298,cell death,bioprocess,go:0008219,er,protein,p03372, , , , , ,i,[' '],['activation'],['pmc3514635'],"['mutants of seipin induce er stress mediated cell death, suggesting that er stress could be the cause of neurodegeneration (xref_bibr).']",1,1,40,1,41
2740,foxo proteins can be phosphorylated, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc3181262'],"['since foxo proteins can be phosphorylated by akt and erk, inhibition of these pathways could be considered as a novel strategy for the prevention and/or treatment of pancreatic cancer.']",1,1,40,1,41
2741,foxo proteins can be phosphorylated, , ,erk,family,erk, , , , , ,i,[' '],['phosphorylation'],['pmc3181262'],"['since foxo proteins can be phosphorylated by akt and erk, inhibition of these pathways could be considered as a novel strategy for the prevention and/or treatment of pancreatic cancer.']",1,1,40,1,41
2743,foxo1, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc4513933'],"['the foxo1 phosphorylation by akt therefore abolishes foxo1 mediated inhibition of runx2 and favors runx2 mediated gene expression, migration and invasion [xref_bibr].']",1,1,40,1,41
1302,cell death,bioprocess,go:0008219,fas,protein,p25445, , , , , ,i,[' '],['activation'],['pmc2311455'],['transient transfection assays were used to examine the consequences of fist / hipk3 overexpression and fadd phosphorylation on fas induced cell death.'],1,1,40,1,41
4021,myt1, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc3317191'],"['thus, the direct phosphorylation of myt1 by akt reverses the balance between myt1 and cdc25 activities and initiates the activation of cyclin b-cdc2 to cause meiotic g2/m-phase transition.']",1,1,40,1,41
5248,runx2 ubiquitination, , ,foxo3,protein,o43524, , , , , ,i,[' '],['ubiquitination'],['pmc4513933'],"['foxo1 / foxo3 knockdown inhibits runx2 ubiquitination, increasing runx2 abundance.']",1,1,40,1,41
5247,runx2 ubiquitination, , ,foxo1,protein,q12778, , , , , ,i,[' '],['ubiquitination'],['pmc4513933'],"['foxo1 / foxo3 knockdown inhibits runx2 ubiquitination, increasing runx2 abundance.']",1,1,40,1,41
5246,runx2 runt, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc4513933'],"['more recently, it was shown in cell-free assays that akt phosphorylation of runx2 runt homology domain enhances its dna binding potential on a runx2 consensus oligonucleotide.']",1,1,40,1,41
1306,cell death,bioprocess,go:0008219,ir,protein,p06213, , , , , ,i,[' '],['activation'],['pmc4811777'],"['in addition to ir induced cell death, p53 Î´ n nscs were more resilient to hypoxia induced death, consistent with previous studies (xref_bibr; xref_bibr).']",1,1,40,1,41
5242,runx2,protein,q13950,pi3k,protein,pi3k, , , , , ,i,[' '],['activation'],['pmc4513933'],['this indirect mechanism of runx2 activation by the pi3k / akt pathway is also described in human tumor cells.'],1,1,40,1,41
5241,runx2,protein,q13950,gsk3,family,gsk3, , , , , ,i,[' '],['activation'],['pmc4513933'],"['therefore, in tumor cells exhibiting constitutive activation of the pi3k / akt pathway, by various mechanisms such as ras mutation, pten deletion, pi3k mutation, or receptor tyrosine kinase overexpression, it is conceivable that gsk3 Î² inactivation will prevent the repression of runx2 transcriptional activity.']",1,1,40,1,41
5240,runx2,protein,q13950,foxo1,protein,q12778, , , , , ,i,[' '],['phosphorylation'],['pmc4513933'],"['the foxo1 phosphorylation by akt therefore abolishes foxo1 mediated inhibition of runx2 and favors runx2 mediated gene expression, migration and invasion [xref_bibr].']",1,1,40,1,41
2751,foxo1 is specifically phosphorylated, , ,erk,family,erk, , , , , ,i,[' '],['phosphorylation'],['pmc2278143'],"['these data suggest that foxo1 is specifically phosphorylated by erk and p38, and that this phosphorylation regulates the function of foxo1.']",1,1,40,1,41
2753,foxo1 was phosphorylated, , ,erk,family,erk, , , , , ,i,[' '],['phosphorylation'],['pmc2278143'],['in vitro kinase assay showed that foxo1 was phosphorylated by erk and p38 but not by jnk [xref_bibr].'],1,1,40,1,41
2700,"fig  xref_fig , top panel) and knockdown of bmi1 increased p14 arf  and p16 ink4a  expression", , ,pten,protein,p60484, , , , , ,i,[' '],['increaseamount'],['pmc2777864'],"['as expected, knockdown of pten activated akt (fig xref_fig, top panel) and knockdown of bmi1 increased p14 arf and p16 ink4a expression (data not shown).']",1,1,40,1,41
5337,ship,protein,q92835,ig,family,pf00047, , , , , ,i,[' '],['phosphorylation'],['pmc3414724'],"['the authors hypothesize that chronic monophosphorylation of ig Î±/Î² (cd79a/b) itams by src family kinases in anergic b cells leads to constitutive activation of ship, which is essential for the maintenance of b cell anergy (xref_bibr).']",1,1,40,1,41
4008,myod1,protein,p15172,rb,protein,p06400, , , , , ,i,[' '],['activation'],['pmc1914394'],"['the idea that rb promotes muscle differentiation by potentiating myod1 activity was contested [xref_bibr], and other mechanisms proposed [xref_bibr, xref_bibr], but not involving e2f repression.']",1,1,40,1,41
5343,signal transduction pathways,bioprocess,go:0007165,egf,protein,p01133, , , , , ,i,[' '],['activation'],['pmc3440385'],['activation of epidermal growth factor (egf) receptor (egfr) by egf stimulates various signal transduction pathways leading to cell mitogenesis and survival xref_bibr â€“ xref_bibr.'],1,1,40,1,41
5344,signal transduction pathways,bioprocess,go:0007165,egfr,protein,p00533, , , , , ,i,[' '],['activation'],['pmc3440385'],['activation of epidermal growth factor (egf) receptor (egfr) by egf stimulates various signal transduction pathways leading to cell mitogenesis and survival xref_bibr â€“ xref_bibr.'],1,1,40,1,41
1296,cell death,bioprocess,go:0008219,e2f1,protein,q01094, , , , , ,i,[' '],['activation'],['pmc3180221'],"['indeed, loss of rb function can lead to an increase in cell death, which is mediated by the transcriptional activity of e2f1.']",1,1,40,1,41
5262,sa,simple-chemical,7009579,akt,family,akt, , , , , ,i,[' '],['activation'],['pmc3325598'],"['we also determined that akt could not induce p21 or sa Î² gal activity in bj-t cells expressing sv40 large t antigen (xref_bibr), consistent with the ability of sv40 large t antigen to repress p53 and retinoblastoma activity (data not shown).']",1,1,40,1,41
5267,sac,protein,q96pn6,e2f1,protein,q01094, , , , , ,i,[' '],['activation'],['pmc1914394'],"['at multiple time points, e2f1 deletion suppressed ectopic mitosis (ph3 + cells), but did not reverse the sac defect, and e2f2 deletion had no effect on either defect (xref_fig a).']",1,1,40,1,41
1277,cell death,bioprocess,go:0008219,akt,family,akt, , , , , ,i,[' '],['activation'],['pmc4171619'],"['however, it is the activation of akt that is proposed to modulate cell death responses to therapeutic agents and mediate resistance [xref_bibr, xref_bibr].']",1,1,40,1,41
1242,cell cycle,bioprocess,go:0007049,p21,gene,p38936, , , , , ,i,[' '],['activation'],['pmc4693233'],"['it is well established that, following dna damage by a genotoxic agent, activated tp53 transcriptionally induces expression of p21 (cyclin dependent kinase inhibitor 1a, cdkn1a) which in turn causes cell cycle arrest allowing for damaged dna to be repaired before continuing the cell cycle.']",1,1,40,1,41
1238,cell cycle,bioprocess,go:0007049,ir,protein,p06213, , , , , ,i,[' '],['activation'],['pmc4811777'],"['thus, loss of atmin is able to rescue some of the phenotypes of trp53 loss, such as hyperproliferation and hypoxia induced death, but not others, such as ir induced cell cycle arrest and cell death.']",1,1,40,1,41
4048,nck1,protein,p16333,egf,protein,p01133, , , , , ,i,[' '],['activation'],['pmc3711644'],['egf stimulation increased the association of both nck1 and nck2 with cas but not crkl or crki with cas (xref_fig).'],1,1,40,1,41
1166,cdk1 gene transcription, , ,pi3k,protein,pi3k, , , , , ,i,[' '],['increaseamount'],['pmc3534656'],['to distinguish if activation of pi3k / akt pathway induces cdk1 gene transcription and/or cdk1 protein synthesis in proliferating retinal progenitors is an interesting point to be further explored.'],1,1,40,1,41
4049,nck2,protein,o43639,egf,protein,p01133, , , , , ,i,[' '],['activation'],['pmc3711644'],['egf stimulation increased the association of both nck1 and nck2 with cas but not crkl or crki with cas (xref_fig).'],1,1,40,1,41
2709,flt-1,protein,p17948,e2f1,protein,q01094, , , , , ,i,[' '],['activation'],['pmc4100745'],['it was found that co-transfection of e2f1 alone led to a significant induction of both kdr and flt-1 promoters (xref_fig); co-transfection of kdm2a along with e2f1 considerably repressed the e2f1 mediated induction of kdr and flt-1.'],1,1,40,1,41
5308,senescence,bioprocess,d000375,myr-akt1,protein,p31749, , , , , ,i,[' '],['activation'],['pmc3325598'],['myr-akt1 expression induced a more rapid and complete induction of senescence than h-ras v12 up to 11 days post-retroviral infection (xref_supplementary).'],1,1,40,1,41
2712,forkhead, , ,akt,family,akt, , , , , ,i,[' '],['phosphorylation'],['pmc2834758'],"['in addition, akt reduces the transcription of a subset of pro apoptotic genes by phosphorylation of forkhead transcription factors, which causes their nuclear exclusion and inactivation xref_bibr, including foxo1, foxo3a, and foxo4 and the phosphorylation by akt negatively regulates foxo activity by relocalizing foxo from nucleus to the cytoplasm, where it is sequestered away from target genes through interacting with 14-3-3 xref_bibr.']",1,1,40,1,41
5279,sd,protein,p46060,egf,protein,p01133, , , , , ,i,[' '],['activation'],['pmc3440385'],['we showed by both methods that sd activation of egfr by egf in cho-egfr cells result in stronger cell proliferation than pm activation of egfr by egf in cho-ll/aa cells and the differences are statistically significant (xref_fig).'],1,1,40,1,41
2717,forms of rb, , ,rb,protein,p06400, , , , , ,i,[' '],['phosphorylation'],['pmc3012146'],"['partially phosphorylated forms of rb bind e2fs (xref_bibr; xref_bibr), and rb continues to co-localize with e2fs at certain promoters in vivo beyond the g1/s transition despite being sufficiently phosphorylated to allow for cell cycle progression (xref_bibr; xref_bibr).']",1,1,40,1,41
1283,cell death,bioprocess,go:0008219,bcl-x l,protein,q07817, , , , , ,i,[' '],['activation'],['pmc2193455'],"['supporting the central role for the loss of Î´ Ïˆ m in the induction of cell death after the inhibition of the pi3k / akt-1 pathway, the ectopic expression of bcl-x l protected not only against dna fragmentation, but also prevented the loss of Î´ Ïˆ m and cell death, even though no reduction of endogenous bcl-x l or bcl-2 was observed.']",1,1,40,1,41
1232,cell cycle,bioprocess,go:0007049,e2f1,protein,q01094, , , , , ,i,[' '],['activation'],['pmc2996947'],"['the e2f family of transcription factors regulates cell cycle progression, with the activities of e2f1, e2f2, and e2f3 promoting cell cycle progression and the activity of e2f4 inhibiting cell cycle progression [xref_bibr].']",1,1,40,1,41
5314,sensor,family,pf13796,amp,simple-chemical,15938965, , , , , ,i,[' '],['activation'],['pmc4666657'],"['metformin functions in part by triggering an lkb1 dependent stress response in the liver, resulting in activation of the amp activated protein kinase (ampk) energy sensor and reduced expression of gluconeogenic enzymes in hepatocytes [xref_bibr].']",1,1,40,1,41
5277,satb1 is sumoylated, , ,caspase 6,protein,p55212, , , , , ,i,[' '],['sumoylation'],['pmc3675137'],"['it is reported that satb1 partially co-localizes with pml, and when apoptosis occurs is targeted for the pml body where satb1 is sumoylated and cleaved by caspase 6 xref_bibr.']",1,1,40,1,41
2721,foxo, , ,erk,family,erk, , , , , ,i,[' '],['phosphorylation'],['pmc3181262'],"['since erk and akt phosphorylates foxo, we next sought to examine the effects of resveratrol on the dephosphorylation / activation foxos.']",1,1,40,1,41
1226,cell cycle,bioprocess,go:0007049,cdks,family,cdk, , , , , ,i,[' '],['activation'],['pmc3832548'],['cell cycle progression is triggered by activation of several cdks; the association of cdks with cyclins and their inhibitors determines these activations.'],1,1,40,1,41
1224,cell cycle,bioprocess,go:0007049,cdk,family,cdk, , , , , ,i,[' '],['activation'],['pmc2933323'],['inhibition of cdk access to rb blocks cell cycle progression.'],1,1,40,1,41
5276,satb1,protein,q01826,akt,family,akt, , , , , ,i,[' '],['activation'],['pmc3675137'],['this observation suggests that akt could modulate intra-nuclear aggregation of satb1.'],1,1,40,1,41
5272,sapk,protein,6886,egf,protein,p01133, , , , , ,i,[' '],['activation'],['pmc2133067'],"['for example, c-jun nh 2 -terminal kinase / stress activated protein kinase (jnk / sapk) is not activated by egf receptors, but it can be activated by integrin clustering (xref_bibr), or by treatment of cells with inflammatory cytokines or stresses such as uv irradiation (xref_bibr).']",1,1,40,1,41
1282,cell death,bioprocess,go:0008219,bax,protein,q07812, , , , , ,i,[' '],['activation'],['pmc2193455'],"['supporting this mechanism, reduction of bcl-x l, another bcl-2 family member capable of binding to bax, resulted in bax mediated cell death 60.']",1,1,40,1,41
5345,signal transduction pathways,bioprocess,go:0007165,epidermal growth factor,protein,p01133, , , , , ,i,[' '],['activation'],['pmc3440385'],['activation of epidermal growth factor (egf) receptor (egfr) by egf stimulates various signal transduction pathways leading to cell mitogenesis and survival xref_bibr â€“ xref_bibr.'],1,1,40,1,41
