,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
3612,mutant,other,uaz00085,nan,nan,cellosaurus:cvcl_0532,nan,nan,ifn,protein family|protein complex,interferon,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3436881'],"['in agreement with the western blot analysis , we found that progeny virus production was significantly higher in the ras transformed skov3 mutant than in control skov3 cells treated with ifn ( 50 and 100 u/ml ) .']",1,1.0,40.0,1.0,41.0
1292,cdk2,protein,p24941,cytoplasm,go:0005737,nan,nan,nan,akt,protein family|protein complex,akt,cytoplasm,go:0005737,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc3317191'],['nuclear akt phosphorylates cdk2 at thr39 which causes temporary cytoplasmic localization of cyclin a and cdk2 complex .'],1,1.0,40.0,1.0,41.0
5259,sorafenib,chemical,216239,nan,nan,nan,nan,nan,gsk-3beta,protein,p49841,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4102778'],['elimination of gsk-3beta activity increased the activity of sorafenib .'],1,1.0,40.0,1.0,41.0
2684,growth factor receptor-bound protein 10,protein,q13322,nan,nan,cellosaurus:cvcl_4w74,nan,nan,mtorc1,protein family|protein complex,mtorc1.p,nan,nan,nan,nan,nan,nan,nan,i,['phosphorylation'],['pmc3750018'],"['this growth factor-mtorc1 pathway is regulated through two negative feedback loops : mtorc1-p70s6k-mediated phosphorylation and degradation of insulin receptor substrate ( irs ) [ xref_bibr , xref_bibr ] and mtorc1 mediated phosphorylation of growth factor receptor bound protein 10 ( grb10 ) [ xref_bibr ] .']",1,1.0,40.0,1.0,41.0
3592,mtorc2,protein family|protein complex,mtorc2,nan,nan,nan,nan,nan,insulin,protein,p01308,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3291999'],"['nevertheless , the mechanism by which insulin or other growth factors activate mtorc2 is unclear .']",1,1.0,40.0,1.0,41.0
1277,cdc42,protein,p60953,other,go:0001725,nan,nan,nan,erk,protein family|protein complex,erk,other,go:0001725,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc4729484'],"['in the present study , we have investigated whether rhoa and cdc42 can be phosphorylated by erk . ++++ in the present study , we examined whether erk also phosphorylates rhoa and cdc42 . ++++ we also showed that cdc42 is only marginally phosphorylated by active erk ( xref_fig ) .']",1,1.0,40.0,1.0,41.0
5661,uvrag-vps34 lipid kinase complex,other,uaz02382,nan,nan,cellosaurus:cvcl_0030,nan,nan,mtor,protein,p42345,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc4585463'],['mtor phosphorylates the uvrag-vps34 lipid kinase complex .'],1,1.0,40.0,1.0,41.0
1278,cdc42,protein,p60953,other,go:0005829,nan,nan,nan,src,protein family|protein complex,src,other,go:0005829,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc4729484'],"['in addition , cdc42 is phosphorylated on tyrosine 64 ( 64 y ) by src tyrosine kinase , and this phosphorylation results in the increased interaction between cdc42 and gdi [ xref_bibr ] . ++++ in addition , cdc42 is phosphorylated on tyrosine 64 ( 64 y ) by src tyrosine kinase , and this phosphorylation results in the increased interaction between cdc42 and gdi [ xref_bibr ] .']",1,1.0,40.0,1.0,41.0
967,beta-catenin,protein,p35222,nan,nan,nan,nan,uberon:uberon:0000479,ki,chemical,4875.t,nan,nan,nan,nan,nan,nan,nan,i,['transcription'],['pmc4102778'],['expression of ki gsk-3beta in murine mammary glands can function as dn mutation and promote breast cancer development by stabilizing beta-catenin protein expression [ xref_bibr ] .'],1,1.0,40.0,1.0,41.0
2700,gsk-3,protein family|protein complex,gsk3,nan,nan,nan,nan,nan,ampk,protein family|protein complex,ampk,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc4102778'],['gsk-3 can phosphorylate tsc2 after it has been phosphorylated ( priming phosphorylation ) by ampk .'],1,1.0,40.0,1.0,41.0
925,beta-catenin,protein,p35222,nan,nan,nan,nan,nan,gsk3,protein family|protein complex,gsk3,nan,nan,phos-a,other,uaz00894,nan,nan,i,['phosphorylation'],['pmc2654145'],['this result implies that phos-a inhibition of beta-catenin phosphorylation by gsk3 may not involve its binding to axin .'],1,1.0,40.0,1.0,41.0
1281,cdk inhibitor,other,uaz01356,nan,nan,cellosaurus:cvcl_0063,uaz:uaz01530,nan,nan,nan,nan,nan,nan,cdk4,protein,p11802,nan,nan,i,['none'],['pmc3084876'],"['while cell viability was unaffected , the production of il-6 was dramatically reduced in mouse b cells treated with the cdk inhibitor su9516 ( xref_fig ) and human b cells treated with the cdk4 specific inhibitor cink ( xref_fig ) .']",1,1.0,40.0,1.0,41.0
5273,sp-a,protein,p48023,nan,nan,cellosaurus:cvcl_9t08,cl:cl:0000082,nan,nan,nan,nan,nan,nan,insulin,protein,p01308,nan,nan,i,['none'],['pmc150512'],"['in agreement with the h441 cells results , pd98059 ( 2.5-10 mum ) had no effect on the insulin inhibition of sp-a mrna while decreasing basal sp-a mrna levels in a dose dependent manner when added alone . ++++ our previous studies have shown that insulin down-regulates sp-a mrna and protein levels in human lung epithelial cells in a concentration and time dependent manner via an inhibition of gene transcription [ xref_bibr , xref_bibr ] .']",1,1.0,40.0,1.0,41.0
1283,cdk1,protein,p06493,cytoplasm,go:0005737,nan,nan,nan,nan,nan,nan,nan,nan,atm,protein,q13315,cytoplasm,go:0005737,i,['none'],['pmc2925474'],"['thus , by inhibiting cdc25 , atm and atr -- > chk1 inactivates cdk1 .']",1,1.0,40.0,1.0,41.0
924,beta-catenin,protein,p35222,nan,nan,nan,nan,nan,gsk3,protein family|protein complex,gsk3,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc2196183'],"['a more careful examination showed that excess gsk3 could partially rescue the inhibition of beta-catenin degradation by lower levels of tcf3 ( 100 nm ) ; however , even a large excess of gsk3 did not reverse the effect of 300 nm added tcf3 ( xref_fig ) .']",1,1.0,40.0,1.0,41.0
922,beta-catenin,protein,p35222,nan,nan,nan,nan,nan,gsk3,protein family|protein complex,gsk3,nan,nan,lrp6,protein,o75581,nan,nan,i,['phosphorylation'],['pmc2654145'],"['while this manuscript was in previous review processes , cselenyi et al. reported that the lrp6 intracellular domain directly inhibits gsk3 phosphorylation of beta-catenin in a pppspxs dependent manner xref_bibr . ++++ cselenyi et al recently reported that the recombinant lrp6 intracellular domain directly inhibits gsk3 phosphorylation of beta-catenin in xenopus egg extracts and in a reconstituted in vitro kinase assay similar to the one employed in this study xref_bibr . ++++ our results suggest a general inhibition of gsk3 activity by the phosphorylated pppspxs peptide , and are consistent with an earlier study demonstrating that the lrp6 intracellular domain can inhibit gsk3 phosphorylation of both beta-catenin and tau xref_bibr .']",1,1.0,40.0,1.0,41.0
921,beta-catenin,protein,p35222,nan,nan,nan,nan,nan,gsk3,protein family|protein complex,gsk3,nan,nan,ck1,protein,p04264,nan,nan,i,['phosphorylation'],['pmc2654145'],['we found that each of the multiple phosphorylated pppspxs peptides inhibits the phosphorylation of beta-catenin at ser33/ser37/thr41 by gsk3 in a sequence and phosphorylation dependent manner .'],1,1.0,40.0,1.0,41.0
3581,mtorc1 inhibitor,other,uaz00503,nan,nan,cellosaurus:cvcl_4w74,nan,nan,erk,protein family|protein complex,erk,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc3750018'],['rtks also activate mtorc1 through ras-extracellular signal regulated kinase ( erk ) pathway [ xref_bibr ] and subsequent erk phosphorylation of the mtorc1 inhibitor tsc2 [ xref_bibr ] and raptor [ xref_bibr ] .'],1,1.0,40.0,1.0,41.0
3590,mtorc2,protein family|protein complex,mtorc2,nan,nan,nan,nan,nan,egfr,protein,p00533,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3750018'],['combination of mtor and egfr kinase inhibitors blocks mtorc1 and mtorc2 kinase activity and suppresses the progression of colorectal carcinoma .'],1,1.0,40.0,1.0,41.0
5255,sodium,chemical,923,other,go:0016020,nan,nan,nan,erk,protein family|protein complex,erk,other,go:0016020,nan,nan,nan,nan,nan,i,['none'],['pmc2151644'],['our results are consistent with an erk mediated decrease in enac open probability and enhanced retrieval of sodium channels from the apical membrane .'],1,1.0,40.0,1.0,41.0
5256,sodium,chemical,923,plasma membrane,go:0005886,cellosaurus:cvcl_0045,nan,nan,nan,nan,nan,nan,nan,egf,protein,p01133,plasma membrane,go:0005886,i,['none'],['pmc2151644'],['additional experiments were done to confirm that the egf induced inhibition of sodium absorption required erk1/2 phosphorylation . ++++ it is unlikely that phosphorylation of enac per se is responsible for the erk dependent reduction in enac activity since mutation of the adjacent py motif blocked progesterone and egf induced inhibition of sodium current . ++++ the results of the bfa ( xref_fig and xref_table ) and the exogenous trypsin ( xref_fig ) experiments suggest that alterations in channel cleavage can not explain the egf induced inhibition of sodium absorption .'],1,1.0,40.0,1.0,41.0
5271,sp-a,protein,p48023,nan,nan,cellosaurus:cvcl_1561,cl:cl:0000082,nan,mapk,protein family|protein complex,erk.p,nan,nan,nan,nan,nan,nan,nan,i,['transcription'],['pmc150512'],"['thus , phosphorylation of p44/42 mapk may be involved in the up-regulation of sp-a gene expression , results consistent with our observation that inhibition of basal levels of p44/42 mapk phosphorylation may decrease sp-a gene expression .']",1,1.0,40.0,1.0,41.0
5186,skp2,protein,q13309,nan,nan,nan,cl:cl:0000169,uberon:uberon:0002405,src,protein family|protein complex,src,nan,nan,nan,nan,nan,nan,nan,i,['transcription'],['pmc4923948'],"['in addition , the transcription factor stat3 can be activated by src to regulate skp2 expression positively xref_bibr .']",1,1.0,40.0,1.0,41.0
2886,htert promoter,other,uaz02013,other,sl-0276,nan,nan,nan,nan,nan,nan,nan,nan,gsk3beta,protein,p49841,other,sl-0276,i,['none'],['pmc2714081'],"['bio , gsk3beta specific sirna , and genetic agonists of wnt signalling all suppressed htert promoter activity in five cancer cell lines .']",1,1.0,40.0,1.0,41.0
2856,hk ii,protein,p52789,other,go:0005759,cellosaurus:cvcl_0031,nan,nan,nan,nan,nan,nan,nan,mtor,protein,p42345,other,go:0005759,i,['none'],['pmc4373728'],"['we co-immunoprecipitated hk ii and mnsod in mcf-7 cells treated with rapamycin and/or radiation ( xref_fig ) and found that at 24 h post-irradiation , relocation of mtor to mitochondria can prevent the influx of hk ii into the mitochondrial matrix to form a complex with mnsod .']",1,1.0,40.0,1.0,41.0
1039,braf,protein,p15056:[substitutionmutant],nan,nan,nan,cl:cl:0000148,nan,nan,nan,nan,nan,nan,erk,protein family|protein complex,erk,nan,nan,i,['none'],['pmc4294377'],"['inhibition of oncogenic braf v600e or mek downregulated noxa , whereas activation of mek and erk caused its upregulation .']",1,1.0,40.0,1.0,41.0
1023,bioenergetics,biological process,go:0006091,mitochondria,go:0005739,cellosaurus:cvcl_0031,nan,nan,mtor,protein,p42345,mitochondria,go:0005739,nan,nan,nan,nan,nan,i,['none'],['pmc4373728'],"['next , we tested whether blocking mtor could inhibit mtor mediated mitochondrial bioenergetics . ++++ the relocation of mtor is critical for the adaptive switch of bioenergetics in tumors enabling them to survive genotoxic stress .']",1,1.0,40.0,1.0,41.0
3117,kap1,protein,q13263,nan,nan,nan,nan,nan,chk2,protein,o96017,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc4627348'],"['in particular , chk2 phosphorylates kap1 on ser473 decreasing the interaction between kap1 and hp1 proteins : this post translational modification promotes hp1beta mobilization and the reorganization of chromatin structure favoring the repair of dna breaks inside heterochromatin [ xref_bibr , xref_bibr ] .']",1,1.0,40.0,1.0,41.0
1024,biogenesis,biological process,go:0044085,nan,nan,nan,nan,nan,mtor,protein,p42345,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4258317'],['this mtor activation causes an increase in ribosome biogenesis that promotes cell proliferation by providing the machinery which is required by cells to maintain high levels of growth [ xref_bibr ] .'],1,1.0,40.0,1.0,41.0
3115,kap-1,protein,q13263,nan,nan,nan,nan,nan,chk2,protein,o96017,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc4296918'],"['then , chk2 phosphorylates kap-1 on ser473 , which compromises the kap-1 and hp1-beta interaction on chromatin , leading to hp1-beta mobilization .']",1,1.0,40.0,1.0,41.0
3114,kap-1,protein,q13263,nan,nan,nan,nan,nan,atm,protein,q13315,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc4296918'],"['to relax chromatin atm phosphorylates kap-1 at ser824 , disrupting the complex between kap-1 and the nucleosome remodeler protein ( chd3 ) and allowing chd3 to be removed or to dissociate from heterochromatin .']",1,1.0,40.0,1.0,41.0
5079,sb203580,chemical,176155,nan,nan,cellosaurus:cvcl_0023,nan,nan,pd,chemical,7079450,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4466411'],"['to further clarify whether pd induced autophagy was connected with p-p38 mapk and p-jnk activation and p-erk1/2 suppression , cells were pretreated with the pharmacological inhibitors sb203580 , sp600125 or u0126 respectively , and then treated with or without pd .']",1,1.0,40.0,1.0,41.0
1026,biosynthesis,biological process,go:0009058,nan,nan,cellosaurus:cvcl_0030,nan,nan,s6k1,protein,p23443,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3010991'],"[""s6k1 activation up-regulates ribosome biosynthesis , and enhances cell translational capacity through phosphorylation of the 40s ribosomal protein s6 ( rps6 ) and upregulation of translation of mrnas having 5 '-terminal oligopyrimidine tracts ( 5 ' top ) , but in an mtor dependent , rapamycin sensitive manner xref_bibr , xref_bibr , xref_bibr .""]",1,1.0,40.0,1.0,41.0
5077,satb1,protein,q01826,other,go:0016605,nan,nan,nan,caspase 6,protein,p55212,other,go:0016605,nan,nan,nan,nan,nan,d,['sumoylation'],['pmc3675137'],"['it is reported that satb1 partially co-localizes with pml , and when apoptosis occurs is targeted for the pml body where satb1 is sumoylated and cleaved by caspase 6 xref_bibr .']",1,1.0,40.0,1.0,41.0
5076,satb1,protein,q01826,other,go:0016604 ++++ go:go:0016605,cellosaurus:cvcl_0063 ++++ cellosaurus:cvcl_6910,cl:cl:0000034,uberon:uberon:0003062,akt,protein family|protein complex,akt,other,go:0016604 ++++ go:go:0016605,nan,nan,nan,nan,nan,i,['phosphorylation'],['pmc3675137'],"['considering the antagonizing effects of satb1 on pluripotency factors and the fact that akt phosphorylates satb1 and protects it from apoptotic cleavage , we predicted that akt mediated phosphorylation would abolish the functions of oct4 and klf4 . ++++ akt phosphorylates satb1 . ++++ collectively , satb1 phosphorylation by akt is pivotal for its role to antagonize the pluripotency factors at both transcription and protein protein interaction levels . ++++ based on preliminary data , considering the opponent effects of satb1 on the expression of nanog and klf4 , we proposed that akt may phosphorylate the differentiation factor satb1 and the pluripotency factors oct4 and klf4 simultaneously or sequentially to change their abundance or conformation , thereby dictating stem cells to maintain the pluripotency status or enter the differentiation program . ++++ as akt is a potent downstream effector of pi3k signaling pathway , we then ask whether satb1 phosphorylation by akt would rely on pi3k activation . ++++ here , we demonstrate that akt phosphorylates satb1 , a chromatin organizer and global regulator for gene expression , thereby keeping it intact and maintaining its inhibitory effects on the expression of nanog . ++++ as a control , satb1 phosphorylation was increased by constitutively activated akt compared with wild-type akt , whereas it was significantly decreased in the presence of an epitopically expressed kinase dead akt , a dominant negative form lacking kinase activity ( xref_fig ) . ++++ to examine whether satb1 phosphorylation by akt would affect co-localization of satb1 and pml , gfp-satb1 , gfp-satb1s47a or gfp-satb1s47d along with cherry-pml was transfected into hek293a cells . ++++ we then investigated whether akt could phosphorylate satb1 in vivo .']",1,1.0,40.0,1.0,41.0
5095,senescence,biological process,d000375,nan,nan,cellosaurus:cvcl_0042,nan,nan,nan,nan,nan,nan,nan,pras40,protein,q96b36,nan,nan,i,['none'],['pmc4216640'],"['pras40 negatively regulates p53 dependent transcriptional activity and senescence . ++++ while we are not able to detect significant induction of cell death in u2os cells , pras40 depletion significantly increases senescence associated beta-galactosidase activity compared to ns control cells .']",1,1.0,40.0,1.0,41.0
1008,betacat,other,uaz03159,nan,nan,nan,nan,uberon:uberon:0005569,gsk3,protein family|protein complex,gsk3,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc4568445'],"[""in the current model , betacat is recruited into the destruction complex by binding apc or axin and sequentially phosphorylated by ck1 and gsk3 . ++++ gsk3 , which phosphorylates betacat , axin and other sites on apc , also phosphorylates apc2 's r2 and b ( step 3 ; ck1 may also be involved , as it is in the other phosphorylation events in the complex ) .""]",1,1.0,40.0,1.0,41.0
5075,satb1,protein,q01826,other,go:0016604,cellosaurus:cvcl_6910,nan,nan,akt,protein family|protein complex,akt,other,go:0016604,nan,nan,nan,nan,nan,i,['none'],['pmc3675137'],['this observation suggests that akt could modulate intra-nuclear aggregation of satb1 .'],1,1.0,40.0,1.0,41.0
5096,senescence,biological process,d000375,nan,nan,cellosaurus:cvcl_0101,nan,nan,nan,nan,nan,nan,nan,p27 kip1,protein,p46527,nan,nan,i,['none'],['pmc4211374'],"['similarly , premature senescence , which was accelerated by galectin-3 depletion in both the cell lines , was rescued by the additional p27 kip1 inhibition ( xref_fig and xref_supplementary ) .']",1,1.0,40.0,1.0,41.0
5097,senescence,biological process,d000375,nan,nan,cellosaurus:cvcl_0347,nan,nan,akt1,protein,p31749,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3325598'],"['in imr90 cells , myr-akt1 does moderately induce p16 levels ( xref_supplementary ) ; however , myr-akt1 expression failed to induce sahf formation in these cells , unlike h-ras v12 ( xref_supplementary ) , suggesting that akt1 induced senescence is largely independent of p16 .']",1,1.0,40.0,1.0,41.0
5100,senescence,biological process,d000375,nan,nan,cellosaurus:cvcl_0535,nan,nan,mdm2,protein,q00987,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4480747'],"['because mdm2 is not overexpressed in snb19 cells , it suggested that senescence mediated by mdm2 down regulation in response to cdk4i was not unique to those cells in which mdm2 is amplified .']",1,1.0,40.0,1.0,41.0
5074,satb1,protein,q01826,other,go:0016363,cellosaurus:cvcl_0031,nan,nan,akt,protein family|protein complex,akt,other,go:0016363,nan,nan,nan,nan,nan,i,['amount'],['pmc3675137'],"['furthermore , the myristoylated akt increased the amount of satb1 over-expressed in sk-br-3 cells , whereas the dominant negative akt did not ( xref_fig ) .']",1,1.0,40.0,1.0,41.0
5101,senescence,biological process,d000375,nan,nan,cellosaurus:cvcl_0535,nan,uberon:uberon:0006611,nan,nan,nan,nan,nan,mdm2,protein,q00987,nan,nan,i,['none'],['pmc4480747'],"['consequently , mdm2 loss can trigger a p53 independent senescence program . ++++ thus , we wanted to ask if mdm2 knockdown could also induce senescence in a p53 independent manner . ++++ furthermore , knocking down p53 in ls8817 cells did not disrupt either cdk4 inhibitor induced down-regulation of mdm2 or accumulation of sa-beta-gal ( or sahf , not shown ) , nor did it prevent mdm2 knockdown induced senescence ( xref_supplementary ) . ++++ first , knocking down p53 does not affect either cdk4 inhibitor induced senescence or senescence induced by mdm2 knockdown in wd/ddls cell lines . ++++ the specificity of the shrnas was confirmed because expression of a mismatched wobbled mdm2 allele prevented mdm2 knockdown induced growth arrest and senescence . ++++ the e3 ligase activity of mdm2 is required to block senescence in pd0332991 treated cells . ++++ the specificity of the shrnas was confirmed because expression of a mismatched wobbled mdm2 allele prevented mdm2 knockdown induced growth arrest and senescence . ++++ first , knocking down p53 does not affect either cdk4 inhibitor induced senescence or senescence induced by mdm2 knockdown in wd/ddls cell lines . ++++ to identify which domains of mdm2 were necessary to suppress senescence we expressed different mutant alleles of mdm2 and scored their effect in pd0332991 treated ls8817 cells .']",1,1.0,40.0,1.0,41.0
5071,sap-1a,other,uaz00145,other,go:0015629,nan,nan,nan,erk,protein family|protein complex,erk,other,go:0015629,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc2169466'],"['upon mitogenic stimulation , erk translocates from the cytoplasm to the nucleus , where it phosphorylates the ternary complex factors elk-1 and sap-1a ( chen et al. 1992 ; gille et al. 1992 ; lenormand et al. 1993 ) .']",1,1.0,40.0,1.0,41.0
3099,jf32,other,uaz01879,nan,nan,nan,nan,uberon:uberon:0008338,pi3k,protein family|protein complex,pi3k,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3135566'],['sole inhibition of either mek or pi3k partially limits macrophage stimulation of lm2 and jf32 growth to slightly different extents .'],1,1.0,40.0,1.0,41.0
5080,sb216763,other,uaz00752,nan,nan,nan,nan,nan,gsk3,protein family|protein complex,gsk3,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4496196'],"['in agreement with the findings using sb216763 , both chir99021 and gsk3 knockdown rescued reduction of these proteins induced by rapamycin .']",1,1.0,40.0,1.0,41.0
3120,kap1-s473,other,uaz01844,nan,nan,cellosaurus:cvcl_0042,nan,nan,chk2,protein,o96017,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc4627348'],"['as chk2 phosphorylation of kap1-s473 induces the mobilization of hp1 from heterochromatin and promotes chromatin relaxation [ xref_bibr , xref_bibr ] , we investigated whether the defects in heterochromatic dna repair in ccar2 deficient cells was somewhat linked to chk2 .']",1,1.0,40.0,1.0,41.0
3121,kap1-s473,other,uaz01844,nan,nan,cellosaurus:cvcl_0042,nan,nan,chk2,protein,o96017.t,nan,nan,nan,nan,nan,nan,nan,i,['phosphorylation'],['pmc4627348'],"['to verify the specificity of these events , we transfected u2os-ccar2-/- cells with vectors encoding ccar2 wt , ccar2 t454a , flag-chk2 wt and flag-chk2 kd ( kinase dead , a catalytically inactive mutant ) and , after etoposide treatment , we found that expression of ccar2 ( both the wild type and , to a lesser extent , the t454a mutant ) and wild type chk2 restores kap1-s473 phosphorylation , but not the expression of chk2 kd , indicating that the defective kap1 phosphorylation on s473 is caused by ccar2 deficiency which in turn affects chk2 activity .']",1,1.0,40.0,1.0,41.0
5789,"{dbc1, sirt1}","{protein, protein}","{o60477, q96eb6}",nan,nan,cellosaurus:cvcl_0042,nan,nan,chk2,protein,o96017,nan,nan,nan,nan,nan,nan,nan,i,['binding'],['pmc4245943'],"['altogether , these findings suggest that chk2 kinase promotes the physical association between dbc1 and sirt1 in dna damaged cells and , for this , the phosphorylation of dbc1 on thr454 by atm and atr is also required .']",1,1.0,40.0,1.0,41.0
5808,"{fak, alphavbeta5}","{protein, other}","{q05397, uaz00052}",nan,nan,nan,cl:cl:0000066,nan,vegf,protein,p15692,nan,nan,src,protein family|protein complex,src,nan,nan,i,['binding'],['pmc2173263'],"['in this study we have shown that src deficiency or blockade of src activity suppresses fak phosphorylation at aa 861 , and thereby reduces vegf induced fak and alphavbeta5 complex formation . ++++ in this study we have shown that src deficiency or blockade of src activity suppresses fak phosphorylation at aa 861 , and thereby reduces vegf induced fak and alphavbeta5 complex formation .']",1,1.0,40.0,1.0,41.0
27,2017-10-04 00:00:00,protein,q01860,other,go:0042641,nan,nan,nan,stat3,protein,p40763,other,go:0042641,nan,nan,nan,nan,nan,i,['transcription'],['pmc3537888'],['thus increased nuclear stat3 ( y705 ) alone is insufficient to induce oct4 and nanog expression when pdgfrs are not inhibited .'],1,1.0,40.0,1.0,41.0
5807,"{fak, alphavbeta3}","{protein, other}","{q05397, uaz00076}",other,go:0016020,nan,nan,nan,vegf,protein,p15692,other,go:0016020,nan,nan,nan,nan,nan,i,['binding'],['pmc2173263'],['these in vitro binding data with integrin tails lacking the membrane proximal domain are consistent with the data from intact cells in which vegf induced an increase in fak and alphavbeta5 but not fak and alphavbeta3 complexes .'],1,1.0,40.0,1.0,41.0
1017,bim,protein,o43521,mitochondria,go:0005739,nan,nan,nan,akt,protein family|protein complex,akt,mitochondria,go:0005739,nan,nan,nan,nan,nan,i,['none'],['pmc3734838'],['further experiments revealed that inhibiting or activating akt genetically or pharmacologically together with selenite treatment resulted in the further regulation of foxo3a as well as its target bim .'],1,1.0,40.0,1.0,41.0
5797,"{eif4g, eif3}","{protein, protein}","{q04637, p23116}",nan,nan,uaz:cvcl_9115,nan,nan,mtor,protein,p42345,nan,nan,nan,nan,nan,nan,nan,i,['binding'],['pmc3439927'],['the involvement of mtor may explain the lack of eif3 accumulation considering a previous study showing the mtor stimulated association between eif4g and eif3 .'],1,1.0,40.0,1.0,41.0
5790,"{dbc1-t454a, sirt1}","{other, protein}","{uaz01200, q96eb6}",nan,nan,cellosaurus:cvcl_0042,nan,nan,chk2,protein,o96017.t,nan,nan,nan,nan,nan,nan,nan,i,['binding'],['pmc4245943'],['similar experiments were performed to determine the role of thr454 phosphorylation in chk2 mediated increase of dbc1-sirt1 association and we found that chk2 overexpression can not induce the binding of dbc1-t454a to sirt1 .'],1,1.0,40.0,1.0,41.0
3135,ko,chemical,25113109,nan,nan,uaz:cvcl_9115,cl:cl:2000042,nan,wnt,protein family|protein complex,wnt,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4558782'],['we next validated the role of gsk3beta y216 in wnt and beta-catenin signaling in gsk3beta knockout ( ko ) mefs ( mouse embryonic fibroblasts ) .'],1,1.0,40.0,1.0,41.0
5086,selenite,chemical,1090,nan,nan,cellosaurus:cvcl_0042,nan,nan,nan,nan,nan,nan,nan,4ebp1,protein,q13541,nan,nan,i,['none'],['pmc3439927'],"['as shown in xref_fig , depletion of 4ebp1 significantly enhanced the viability of selenite treated cells ( right panel ) .']",1,1.0,40.0,1.0,41.0
3132,klf4,protein,o43474,other,go:0016605,cellosaurus:cvcl_6910,cl:cl:0002322 ++++ cl:cl:0000034,uberon:uberon:0003062,akt,protein family|protein complex,akt,other,go:0016605,nan,nan,nan,nan,nan,i,['phosphorylation'],['pmc3675137'],"['akt phosphorylated oct4 and klf4 , but not sox2 , as detected with anti-phospho-akt substrate ( xref_fig ) . ++++ our data revealed that akt phosphorylated oct4 and klf4 and increased their degradations . ++++ on the other hand , akt phosphorylates pluripotency factors oct4 and klf4 , promoting their degradation via the ubiquitin-proteasome system . ++++ the above data indicates that akt protects satb1 from apoptotic cleavage ; on the contrary , akt phosphorylates oct4 and klf4 , thereby promoting their degradation . ++++ the relationship between igf1 and akt pathway and klf4 abundance has already been established , but whether akt would directly phosphorylate klf4 was not reported xref_bibr . ++++ based on preliminary data , considering the opponent effects of satb1 on the expression of nanog and klf4 , we proposed that akt may phosphorylate the differentiation factor satb1 and the pluripotency factors oct4 and klf4 simultaneously or sequentially to change their abundance or conformation , thereby dictating stem cells to maintain the pluripotency status or enter the differentiation program . ++++ considering the antagonizing effects of satb1 on pluripotency factors and the fact that akt phosphorylates satb1 and protects it from apoptotic cleavage , we predicted that akt mediated phosphorylation would abolish the functions of oct4 and klf4 . ++++ immunoprecipitation with anti-flag followed by immunoblotting with anti-phospho-akt substrate revealed that akt phosphorylated klf4 , and that activated akt increased the phosphorylation signal , whereas dominant negative akt decreased the signal ( xref_fig ) .']",1,1.0,40.0,1.0,41.0
1021,bim,protein,o43521,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,erk,protein family|protein complex,erk,nan,nan,i,['none'],['pmc3025971'],"['for example , erk proteins promote cell survival by inhibiting caspase-9 [ xref_bibr , xref_bibr ] or bim ( bcl-2-interacting mediator of cell death ) through direct phosphorylation [ xref_bibr ] .']",1,1.0,40.0,1.0,41.0
5787,"{cyclins, cdks}","{protein family|protein complex, protein family|protein complex}","{cyclin, cdk}",nan,nan,nan,nan,nan,p21,protein,p38936.t,nan,nan,nan,nan,nan,nan,nan,i,['binding'],['pmc1647274'],['parry and collaborators reported that overexpression of p21 can promote the association of d-type cyclins with cdks by counteracting their binding to ink4 proteins [ xref_bibr ] .'],1,1.0,40.0,1.0,41.0
